Série,Album,Auteur,Commentaire,Lieu,Année,Fichier
Agent 212,Agent Trouble,Daniel Kox,Kox est très drôle et s'interrompt régulièrement pour discuter et rigoler lors de la dédicace. Le salon fermait mais il a quand même fini de dédicacer après la fermeture du salon sous le regard des vigiles,Valenciennes,16/11/2024,l_agent_212_agent_trouble.jpg
Atom Agency,Les bijoux de la Bégum,Olivier Schwartz,"J'étais le dernier de la journée, il devait partir pour prendre son train, il n'a pas fait les noirs et m'a dit de les faire à sa place. Il a également mis un tampon Spirou",Bruxelles,10/09/2022,atom_agency_tome_1.jpg
Blake et Mortimer,La vallée des immortels Tome 1,Peter van Dongen,Dédicace pour le public de la conférence Blake et Mortimer de la fête de la BD à Bruxelles. Le dessinateur a applué un tampon et a signé,Bruxelles,14/09/2019,blake_et_mortimer_tome_25.jpg
Blake et Mortimer,La vallée des immortels Tome 1,Yves Sente,Signature,Bruxelles,14/09/2019,blake_et_mortimer_tome_25.jpg
Blake et Mortimer,Le dernier pharaon,François Schuiten,Dédicace pour le public de la conférence Blake et Mortimer de la fête de la BD à Bruxelles. Une assistante a mis un pochoir sur la page et a appliqué de l'encre noire avec un rouleau. Schuiten a complété le dessin avec un feutre blanc,Bruxelles,14/09/2019,blake_et_mortimer_le_dernier_pharaon.jpg
Blake et Mortimer,Le dernier pharaon,Laurent Durieux,Signature,Bruxelles,14/09/2019,blake_et_mortimer_le_dernier_pharaon.jpg
Blake et Mortimer,L'onde Septimus,Étienne Schréder,Le dessinateur a sorti un calque avec des dessins dessus pour faire le crayonné,Bruxelles,10/09/2022,blake_et_mortimer_tome_22.jpg
Blake et Mortimer,L'onde Septimus,Jean Dufaux,Signature,Bruxelles,10/09/2022,blake_et_mortimer_tome_22.jpg
Boule et Bill,Bill est un gros rapporteur,Christophe Cazenove,,Fort-Mardyck,05/04/2025,boule_et_bill_tome_37.jpg
Champignac,Énigma,Béka,Le dessinateur n'a pu être là mais le scénariste savait dessiner Champignac de profil,Bruxelles,14/09/2019,champignac_tome_1.jpg
Comme des bêtes,Tome 1,Goum,Cadeau pour Chloé,Bruxelles,10/09/2023,comme_des_betes_tome_1.jpg
Comme des bêtes,Tome 1,Lapuss',Cadeau pour Chloé,Valenciennes,16/11/2024,comme_des_betes_tome_1.jpg
Demon,Volume 1,Jason Chiga,,Anzin-Saint-Aubin,10/06/2017,demon_tome_1.jpg
Des histoires courtes du Marsupilami par,Tome 1,Baba,,Valenciennes,20/11/2022,marsupilami_histoires_courtes_tome_1_0.jpg
Des histoires courtes du Marsupilami par,Tome 1,Lapuss',,Valenciennes,20/11/2022,marsupilami_histoires_courtes_tome_1_0.jpg
Des histoires courtes du Marsupilami par,Tome 1,Thomas Priou,,Valenciennes,20/11/2022,marsupilami_histoires_courtes_tome_1_1.jpg
Des histoires courtes du Marsupilami par,Tome 1,Olivier Bocquet,Signature + empreinte relief,Bruxelles,27/09/2025,marsupilami_histoires_courtes_tome_1_2.jpg
Des histoires courtes du Marsupilami par,Tome 2,Pau,,Fort-Mardyck,05/04/2025,marsupilami_histoires_courtes_tome_2_0.jpg
Disney/glénat,Un travail pour Fantomiald,Nicolas Pothier,Tampon + Signature,Valenciennes,16/11/2024,fantomiald.jpg
Disney/glénat,Un travail pour Fantomiald,Batem,Signature,Valenciennes,16/11/2024,fantomiald.jpg
Disney/glénat,Mickey contre l'alliance maléfique,Nicolas Pothier,Tampon + Signature,Valenciennes,16/11/2024,mickey_contre_l_alliance_malefique_2.jpg
Disney/glénat,Mickey contre l'alliance maléfique,Johan Pilet,,Valenciennes,16/11/2024,mickey_contre_l_alliance_malefique_1.jpg
Disney/glénat,Mickey all stars,Nicolas Pothier,Tampon + Signature,Valenciennes,16/11/2024,mickey_all_stars.jpg
Disney/glénat,Mickey all stars,Johan Pilet,Signature,Valenciennes,16/11/2024,mickey_all_stars.jpg
Disney/glénat,Mickey all stars,Batem,Signature,Valenciennes,16/11/2024,mickey_all_stars.jpg
Disney/glénat,Mickey all stars,Lapone,,Valenciennes,16/11/2024,mickey_all_stars.jpg
Disney/glénat,Mickey all stars,Jean-Philippe Peyraud,,Lille,04/10/2024,mickey_all_stars.jpg
Disney/glénat,Mickey all stars,Mathilde Domecq,,Lille,05/10/2025,mickey_all_stars.jpg
Donjon monsters,Tome 14,Bastien Quignon,,Lambersart,01/04/2023,donjon_monsters_tome_14.jpg
Hero corp,Tome 1,Simon Astier,Dédicace en compagnie d'Olivier,Lille,13/04/2013,hero_corp_tome_1.jpg
Hero corp,Tome 1,Marco Failla,,Lille,13/04/2013,hero_corp_tome_1.jpg
Idéfix et les irréductibles,Les irréductibles font leur cirque,Rudy,,Valenciennes,18/11/2023,idefix_tome_4.jpg
Imbattable,Tome 1,Pascal Jousselin,,Bruxelles,07/09/2024,imbattable_tome_1.jpg
Iznogoud,Des bougies pour Iznogoud,Olivier Andrieu,Signature,Valenciennes,20/11/2022,iznogoud_des_bougies_pour_iznogoud.jpg
Iznogoud,Des bougies pour Iznogoud,Elric Dufau,,Valenciennes,20/11/2022,iznogoud_des_bougies_pour_iznogoud.jpg
Jérôme K. Jérôme Bloche,L'absent,Alain Dodier,,Bruxelles,10/09/2022,bloche_tome_9.jpg
Jérôme K. Jérôme Bloche,Le coeur à droite,Alain Dodier,,Fort-Mardyck,05/04/2025,bloche_tome_11.jpg
L'atelier Mastodonte,Tome 1,Obion,Dédicace commencée par Obion,Bruxelles,15/09/2018,l_atelier_mastodonte_tome_1.jpg
L'atelier Mastodonte,Tome 1,Benoît Feroumont,Feroumont a dit qu'Obion s'était pas foulé,Bruxelles,15/09/2018,l_atelier_mastodonte_tome_1.jpg
L'atelier Mastodonte,Tome 1,Libon,,Anzin-Saint-Aubin,29/06/2019,l_atelier_mastodonte_tome_1.jpg
L'atelier Mastodonte,Tome 1,Nicoby,,Anzin-Saint-Aubin,29/06/2019,l_atelier_mastodonte_tome_1.jpg
L'atelier Mastodonte,Tome 1,Jérôme Jouvray,avec couleurs de Anne-Claire Thibaut-Jouvray,Anzin-Saint-Aubin,29/06/2019,l_atelier_mastodonte_tome_1.jpg
L'atelier Mastodonte,Tome 1,Pascal Jousselin,,Anzin-Saint-Aubin,29/06/2019,l_atelier_mastodonte_tome_1.jpg
L'atelier Mastodonte,Tome 1,Tébo,,Bruxelles,14/09/2019,l_atelier_mastodonte_tome_1.jpg
L'atelier Mastodonte,Tome 2,Lewis Trondheim,,Bruxelles,27/09/2025,l_atelier_mastodonte_tome_2.jpg
L'atelier Mastodonte,Tome 2,Benoît Feroumont,,Bruxelles,27/09/2025,l_atelier_mastodonte_tome_2.jpg
L'atelier Mastodonte,Tome 2,Mathilde Domecq,,Lille,05/10/2025,l_atelier_mastodonte_tome_2.jpg
L'île carrément perdue,Grog en stock,Sti,"J'ai été tiré au sort pour faire un ""Burger quizz"" avec des auteurs de BD. Mon équipe (Mig + ?) a battue l'autre équipe dont Sti faisait partie. La dédicace fait référence à cette victoire.",Anzin-Saint-Aubin,11/06/2016,l_ile_carrement_perdue_tome_1.jpg
La guerre des Lulus,La maison des enfants perdus,Hardoc,,Lyz-les-Lannoy,09/11/2024,la_guerre_des_lulus_tome_1.jpg
La guerre des Lulus,La maison des enfants perdus,Régis Hautière,,Lille,04/10/2025,la_guerre_des_lulus_tome_1.jpg
La Septième Fonction du Langage,,Xavier Bétaucourt,Signature et texte,Lambersart,01/04/2023,la_septieme_fonction_du_langage.jpg
La Septième Fonction du Langage,,Olivier Perret,,Lambersart,01/04/2023,la_septieme_fonction_du_langage.jpg
Lanfeust des étoiles ,Les tours de Meirrion ,Arleston,Bulles et signature ainsi qu'un sceau à la cire,Anzin-Saint-Aubin,09/06/2018,lanfeust_des_etoiles.jpg
Lapinot,Par Toutatis !,Lewis Trondheim,,Bruxelles,10/09/2022,lapinot_par_toutatis.jpg
Le petit Spirou,N'oublie pas ta capuche!,Dan Verlinden,Signature,Fort-Mardyck,05/04/2025,le_petit_spirou_tome_6.jpg
Le petit Spirou,N'oublie pas ta capuche!,Dan Verlinden,,Bruxelles,27/09/2025,le_petit_spirou_tome_6.jpg
Le royaume,La reine du balai,Benoît Feroumont,,Lille,05/10/2024,le_royaume_tome_8.jpg
Le Spirou de,Panique en Atlantique,Fabrice Parme,,Anzin-Saint-Aubin,11/06/2016,spirou_de_panique_en_atlantique.jpg
Le Spirou de,Panique en Atlantique,Lewis Trondheim,Signature,Bruxelles,29/09/2025,spirou_de_panique_en_atlantique.jpg
Le Spirou de,Fantasio se marie,Benoît Feroumont,,Anzin-Saint-Aubin,11/06/2016,spirou_de_fantasio_se_marie.jpg
Le Spirou de,Le triomphe de Zorglub,Brice Cossu,,Bruxelles,14/09/2019,spirou_de_triomphe_de_zorglub.jpg
Le Spirou de,Le triomphe de Zorglub,Olivier Bocquet,Signature,Bruxelles,14/09/2019,spirou_de_triomphe_de_zorglub.jpg
Le Spirou de,La gorgone bleue,Dany,Album retiré de la vente 1 an après la dédicace pour dessins racistes,Bruxelles,10/09/2023,spirou_de_la_gorgone_bleue.jpg
Le Spirou de,Spirou chez les fous,Libon,,Lambersart,14/04/2024,spirou_chez_les_fous.jpg
Léonard,Génie en Balade,De Groot,Tampon + Signature,Lyz-les-Lannoy,09/11/2019,leonard_genie_en_balade.jpg
Léonard,Génie en Balade,Turk,,Valenciennes,20/11/2021,leonard_genie_en_balade.jpg
Les Campbell,Inferno,Munuera,,Bruxelles,10/09/2022,les_campbell_tome_1.jpg
Les cavaliers de l'apocadispe,maîtrisent la situation,Libon,,Bruxelles,15/09/2018,les_cavaliers_de_l_apocadispe_tome_1.jpg
Les minions,Mini boss kabuki,Lapuss',Cadeau pour Chloé,Valenciennes,16/11/2024,les_minions_tome_6.jpg
Les nouvelles aventures de Ric Hochet,Le tiercé de la mort,Zidrou,,Bruxelles,10/09/2022,ric_hochet_le_tierce_de_la_mort.jpg
Les nouvelles aventures de Ric Hochet,Le tiercé de la mort,Simon Vam Liet,,Bruxelles,10/09/2023,ric_hochet_le_tierce_de_la_mort.jpg
Les petits mythos,La compil' mythologique,Philippe Larbier,Cadeau pour Chloé,Fort-Mardyck,05/04/2025,les_petits_mythos.jpg
Les profs,Buzz scolaire,Erroc,,Valenciennes,16/11/2024,les_profs_tome_14.jpg
Les Schtroumpfs,Les Schtroumpfs et la machine à rêver,Miguel Díaz Vizoso,Cadeau pour Chloé,Fort-Mardyck,05/04/2025,les_schtroumpfs_tome_37.jpg
Les sisters,Un air de famille,Christophe Cazenove,Cadeau pour Chloé,Fort-Mardyck,05/04/2025,les_sisters_tome_1.jpg
Les Tuniques Bleues,L'envoyé spécial,Munuera,,Bruxelles,07/09/2024,les_tuniques_bleues_l_envoye_special_1.jpg
Les Tuniques Bleues,L'envoyé spécial,Béka,,Bruxelles,07/09/2024,les_tuniques_bleues_l_envoye_special_2.jpg
Lucky Luke,Un cowboy à Paris,Achdé,,Valenciennes,18/11/2023,lucky_luke_tome_8.jpg
Lucky Luke par,Affiche (50x70cm),Matthieu Bonhomme,Lucky Luke devant la cathédrale du Mans. Affiche dédicacée offerte par des amis. ,Le Mans,17/04/2016,lucky_luke_bonhomme.jpg
Marsupilami,Mars le noir,Batem,,Valenciennes,16/11/2024,marsupilami_tome_3.jpg
Michel Vaillant,Au nom du fils,Benjamin Benéteau,,Bruxelles,10/09/2023,michel_vaillant_au_nom_du_fils.jpg
Michel Vaillant,Cannonbal,Olivier Marin,,Valenciennes,18/11/2023,michel_vaillant_cannonball.jpg
Michel Vaillant,13 jours,Vincent Dutreuil,,Bruxelles,07/09/2024,michel_vaillant_13_jours.jpg
"Moi, Fadi, le frère volé",Tome 1,Riad Sattouf,Dédicace en compagnie de Huiru et Patrick,Lille,05/10/2024,moi_fadi_tome_1.jpg
Natacha,Natacha et les dinosaures,Marc Wasterlain,Signature,Lyz-les-Lannoy,09/11/2019,natacha_et_les_dinosaures.jpg
Nelson,Tome 25,Bertschy,Cadeau pour Chloé,Valenciennes,18/11/2023,nelson_tome_25.jpg
Open museum zep,carte postale,Zep,Signature lors de la conférence d'inauguration de l'open museum de Zep aux palais des Beaux-arts de Lille.,Lille,18/03/2016,open_museum_zep.jpg
Rubine,Les mémoires troubles,Dragan De Lazare,,Lyz-les-Lannoy,10/11/2018,rubine_les_memoires_troubles.jpg
Soda,Résurrection,Dan Verlinden,,Fort-Mardyck,05/04/2025,soda_resurrection.jpg
Spirou classique,La baie des cochons,Elric Dufau,,Bruxelles,07/09/2024,spirou_classique_la_baie_des_cochons.jpg
Spirou classique,La baie des cochons,Clément Lemoine,,Bruxelles,07/09/2024,spirou_classique_la_baie_des_cochons.jpg
Spirou classique,La baie des cochons,Michaël Baril,,Bruxelles,07/09/2024,spirou_classique_la_baie_des_cochons.jpg
Spirou classique,Le trésor de San Inferno,Lewis Trondheim,Tampon + dessin,Bruxelles,27/09/2025,spirou_classique_le_tresor_de_san_inferno.jpg
Spirou et Fantasio,L'ankou,Fournier,,Lyz-les-Lannoy,11/11/2017,spirou_et_fantasio_tome_27.jpg
Spirou et Fantasio,L'homme qui ne voulait pas mourir,Munuera,,Bruxelles,10/09/2022,spirou_et_fantasio_tome_48.jpg
Spirou et Fantasio,La mort de Spirou,Benjamin Abittan,Tampon Spirou + signature après un échange de 5-10 minutes sur ce que j'aimais dans la série et d'autres choses,Bruxelles,10/09/2022,spirou_et_fantasio_tome_56.jpg
Spirou et Fantasio,La mort de Spirou,Olivier Schwartz,Signature de Schwartz à une conférence,Bruxelles,10/09/2022,spirou_et_fantasio_tome_56.jpg
Spirou et Fantasio,Tora-Torapa,Fournier,,Lyz-les-Lannoy,13/11/2022,spirou_et_fantasio_tome_23.jpg
Spirou et Fantasio,La vallée des bannis,Janry,,Valenciennes,20/11/2022,spirou_et_fantasio_tome_41.jpg
Spirou et Fantasio,Lune Fatale,Dan Verlinden,Signature,Fort-Mardyck,05/04/2025,spirou_et_fantasio_tome_45.jpg
Valérian et Laureline,Là où naissent les histoires,Virginie Augustin,,Bruxelles,10/09/2022,valerian_et_laureline_la_ou_naissent_les_histoires.jpg
Walter Appleduck,Cow-boy stagiaire,Fabrice Erre,Dédicace cross-over entre les Fabrices de l'édito de Spirou (Fabrice Erre et Fabcaro) et Walter Appleduck.,Bruxelles,10/09/2022,walter_appleduck_tome_1.jpg
Walter Appleduck,Un cow-boy dans la ville,Fabrice Erre,,Valenciennes,18/11/2023,walter_appleduck_tome_2.jpg
Z comme Don Diego,Intégrale,Fabrice Erre,,Valenciennes,18/11/2023,z_comme_don_diego.jpg
Zorglub,La fille du Z,Munuera,,Lille,18/06/2025,zorglub_tome_1.jpg
Gaston,La galerie des gaffes,Bertschy,,Bruxelles,27/09/2025,gaston_0.jpg
Gaston,La galerie des gaffes,Benoît Feroumont,,Bruxelles,27/09/2025,gaston_1.jpg
Gaston,La galerie des gaffes,Jean-Paul Krassinsky,,Lille,04/10/2025,gaston_2.jpg
Jacques Gipar,Le trésor de Noirmoutier,Jean-Luc Delvaux,Cadeau pour Anselme,Bruxelles,27/09/2025,gipar_le_tresor_de_noirmoutier.jpg
L'homme qui pouvait accomplir des miracles,,Munuera,,Bruxelles,27/09/2025,l_homme_qui_pouvait_accomplir_des_miracles.jpg
Nelson,Merguez orbitale,Bertschy,,Bruxelles,27/09/2025,nelson_tome_27.jpg
Frnck,Le début du commencement,Olivier Bocquet,Signature + tampon + empreinte,Bruxelles,27/09/2025,frnck_tome_1.jpg
Lapinot,L'Accélérateur atomique,Lewis Trondheim,Couleurs de Brigitte Findakly,Bruxelles,27/09/2025,lapinot_tome_9.jpg
Belfort et Lupin,SOS Carpe Diem,Justine Cunha,Cadeau pour Chloé,Bruxelles,27/09/2025,belfort_lupin_tome_1.jpg
Tokyo Mystery Céfa,La disparue d'Akiba,Atelier Sentô,Cécile Brun : dessin & Olivier Pichard : couleurs,Bruxelles,27/09/2025,tokyo_mystery_cafe_tome_1.jpg
Lastman,Tome 1,Michaël Sanlaville,,Lille,04/10/2025,lastman_tome_1.jpg
San Antonio,Si ma tante en avait,Michaël Sanlaville,,Lille,04/10/2025,san_antonio_tome_2.jpg
Han Solo et Chewbacca,Tome 1,David Messina,,Lille,04/10/2025,han_solo_tome_1.jpg
Donjon monsters,Tome 13,David B,,Lille,04/10/2025,donjon_monsters_tome_13.jpg